,Unnamed: 0,acronym,summary,tags,has_tags,semantic_type,classification_data
42,42,CFR,"Fotbal Club CFR 1907 Cluj, commonly known as CFR Cluj (Romanian pronunciation: [t͡ʃefeˌre ˈkluʒ] or [ˌt͡ʃefere ˈkluʒ]), is a Romanian professional football club based in the city of Cluj-Napoca, Cluj County, which competes in the Liga I. It was founded in 1907 as Kolozsvári Vasutas Sport Club, when Transylvania was part of Austria-Hungary, and the current name CFR is the acronym for Căile Ferate Române (i.e. ""Romanian Railways"").
Before its latest promotion to the Liga I in 2004, the club had spent most of its existence in the lower divisions. CFR Cluj has since relied increasingly on foreign players for its success, and in the 2005–06 season participated in its first European competition, the Intertoto Cup, where it finished as runner-up. With significant financial support from previous owner Árpád Pászkány, CFR took the national title away from capital-based teams after seventeen years and became national champion for the first time in the 2007–08 campaign.Between 2017 and 2022, ""the White and Burgundies"" won five successive championships. In total, CFR has amassed sixteen domestic trophies, all of them in the 21st century—eight Liga I, four Cupa României, and four Supercupa României. As well as becoming an esteemed figure in Romanian football, the team has secured three qualifications each to the UEFA Champions League and Europa League group stages, and one qualification to the Europa Conference League group stage. 
CFR has a fierce rivalry with neighbouring Universitatea Cluj, with matches between the two being known as Derbiul Clujului. Several, but minor rivalries also developed in the recent period against teams with which CFR contended for the league title.

","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 767, 'end': 776}]",True,regulatory body,"{'regulatory body': 0.7352925539016724, 'guideline': 0.4805380702018738, 'policy': 0.3231731057167053, 'bank': 0.311460018157959}"
43,43,FCA,"Fiat Chrysler Automobiles N.V. (FCA) was an Italian-American multinational corporation primarily known as a manufacturer of automobiles, commercial vehicles, auto parts and production systems. The Italian holding company Exor was the largest shareholder and owner of voting rights. At the time it was the world's eighth largest automobile maker. The group was established in October 2014 through the merger of Chrysler Group and Fiat S.p.A. Its corporate headquarters were domiciled in Amsterdam and its financial headquarters were in London. The holding company was listed on the New York Stock Exchange and Milan's Borsa Italiana. Exor, an Italian investment group controlled by the Agnelli family, owned 29.19% of FCA and controlled 44.31% through a loyalty voting mechanism.FCA's mass-market brands operated through two main subsidiaries: FCA Italy (previously Fiat Group Automobiles SpA) with headquarters in Turin, and FCA US (previously Chrysler Group LLC) in Auburn Hills, Michigan. The company's portfolio included brands Abarth, Alfa Romeo, Chrysler, Dodge, Fiat, Fiat Professional, Jeep, Lancia, Maserati, and Ram Trucks. Ferrari was spun off in 2016. FCA operated in four global markets (NAFTA, LATAM, APAC, EMEA).On 31 October 2019, FCA announced its intention to merge with the PSA Group (owner of the Peugeot and Citroën brands among others) on a 50-50 all-stock basis. On 18 December 2019, FCA and PSA announced that they had agreed to the terms of a binding $50 billion merger. In July 2020, the company announced its new name, Stellantis. On 16 January 2021, after FCA and PSA both having approved the merger on 4 January of the same year, the merger was complete with FCA resulted as a surviving entity and changed its name to Stellantis.
FCA also owned industrial subsidiaries Comau, Teksid, and Mopar.","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 504, 'end': 513}]",True,regulatory body,"{'regulatory body': 0.5947849750518799, 'guideline': 0.30126962065696716, 'policy': 0.2030733972787857, 'bank': 0.05402890220284462}"
58,58,CBB,"Celebrity Big Brother 20 was the twentieth series of the British reality television series Celebrity Big Brother, hosted by Emma Willis and narrated by Marcus Bentley. The series launched on 1 August 2017, and  concluded on 25 August 2017 after 25 days, making this the shortest series since Celebrity Big Brother 12 in 2013. The series was on Channel 5 in the United Kingdom and 3e in Ireland with the spin-off show Celebrity Big Brother's Bit on the Side presented by Rylan Clark-Neal. It was the thirteenth celebrity series and twentieth series of Big Brother overall to air on Channel 5.
During the launch show on 1 August 2017, Willis confirmed that the winner would receive £50,000 for a charity of their choice. This is the first celebrity series to include a prize fund since Celebrity Big Brother 3 in 2005.On 25 August 2017, Sarah Harding was announced as the winner of the series having received 35.33% of the final vote, with Amelia Lily as the runner-up after receiving 29.92%.","[{'match': 'fund', 'norm': 'fund', 'case': 'lower', 'exact': True, 'start': 773, 'end': 777}]",True,guideline,"{'guideline': 0.7442991137504578, 'regulatory body': 0.7357385754585266, 'policy': 0.7022190690040588, 'bank': 0.6319712996482849}"
61,61,DFSA,"The Dubai Financial Services Authority (DFSA) is the financial regulatory agency of the special economic zone, the Dubai International Financial Centre (DIFC), In Dubai, United Arab Emirates. It is distinct from the UAE's federal Securities and Commodities Authority, whose jurisdiction covers the wider UAE outside the boundaries of the DIFC. It operates only within the special economic zone and is tasked with providing a regulatory environment of international standards.
The DFSA's regulatory mandate includes asset management, banking and credit services, securities, collective investment funds, custody and trust services, commodities futures trading, Islamic finance, insurance, an international equities exchange, and an international commodities derivatives exchange. In addition to regulating financial and ancillary services, the DFSA is responsible for supervising and enforcing anti-money laundering (AML) and counter-terrorist financing (CTF) requirements applicable in the DIFC. The DFSA has also accepted a delegation of powers from the DIFC Registrar of Companies (RoC) to investigate the affairs of DIFC companies and partnerships where a material breach of DIFC Companies Law is suspected and to pursue enforcement remedies available to the Registrar.","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 53, 'end': 62}, {'match': 'securities', 'norm': 'securities', 'case': 'lower', 'exact': True, 'start': 562, 'end': 572}, {'match': 'finance', 'norm': 'finance', 'case': 'lower', 'exact': True, 'start': 668, 'end': 675}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 805, 'end': 814}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 898, 'end': 903}]",True,regulatory body,"{'regulatory body': 0.9860739707946777, 'guideline': 0.7583610415458679, 'bank': 0.741503119468689, 'policy': 0.49940231442451477}"
62,62,AIFC,"Audio Interchange File Format (AIFF) is an audio file format standard used for storing sound data for personal computers and other electronic audio devices. The format was developed by Apple Inc. in 1988 based on Electronic Arts' Interchange File Format (IFF, widely used on Amiga systems) and is most commonly used on Apple Macintosh computer systems.
The audio data in most AIFF files is uncompressed pulse-code modulation (PCM). This type of AIFF file uses much more disk space than lossy formats like MP3—about 10 MB for one minute of stereo audio at a sample rate of 44.1 kHz and a bit depth of 16 bits. There is also a compressed variant of AIFF known as AIFF-C or AIFC, with various defined compression codecs.
In addition to audio data, AIFF can include loop point data and the musical note of a sample, for use by hardware samplers and musical applications.
The file extension for the standard AIFF format is .aiff or .aif. For the compressed variants it is supposed to be .aifc, but .aiff or .aif are accepted as well by audio applications supporting the format.","[{'match': 'standard', 'norm': 'standard', 'case': 'lower', 'exact': True, 'start': 61, 'end': 69}, {'match': 'standard', 'norm': 'standard', 'case': 'lower', 'exact': True, 'start': 894, 'end': 902}]",True,Non-Financial Entity,"{'guideline': 0.8341653347015381, 'policy': 0.7908912301063538, 'bank': 0.5584755539894104, 'regulatory body': 0.5465116500854492, 'finance': 0.32314741611480713}"
72,72,CBN,"ABS-CBN (an initialism of its two predecessors' names, Alto Broadcasting System and Chronicle Broadcasting Network) is a Philippine commercial broadcast network (composed of television through free-to-air terrestrial, cable or satellite, radio and new media through streaming media, internet or online) and syndication, program distributor, and production company (operating primarily under the name ABS-CBN Entertainment) that serves as the flagship property of ABS-CBN Corporation, a company under the Lopez Group. The network is headquartered at the ELJ Communications Center and ABS-CBN Broadcasting Center in Quezon City, with additional offices and production facilities in 25 major cities including Baguio, Naga, Bacolod, Iloilo, Cebu, and Davao. ABS-CBN's production and post-production facility is located at the Horizon IT Park in San Jose del Monte, Bulacan which opened in 2018. ABS-CBN was colloquially referred to as the Kapamilya Network; the branding was originally introduced in 1999 and was officially introduced in 2003 during the celebration of its 50th anniversary and was used until its May 5, 2020 shutdown when ABS-CBN's branding changed to Kapamilya Forever in support for the network's franchise renewal on May 13, 2020. ABS-CBN is the largest media company in the country in terms of assets, manpower, and international coverage. As of 2020, the network's terrestrial broadcasting operations including free-to-air television and radio is indefinitely suspended due to lack of license and franchise, but broadcasting activities continued via online, cable and satellite, streaming platforms, and block timing on terrestrial television through A2Z and TV5.
ABS-CBN is the first and oldest television broadcaster in Southeast Asia and one of the oldest commercial television broadcasters in Asia. It has also been the leading television network in the Philippines with advertising revenues of 21.2 billion pesos for the fiscal year of 2015. ABS-CBN's very first-ever television broadcast was on October 23, 1953, as Alto Broadcasting System (ABS) on DZAQ-TV, just 3 months after the first broadcast of Japan's NHK General TV and Nippon Television. It is also the first television network in Southeast Asia to broadcast in color, the first television network in the Philippines to formally launch a digital terrestrial television service, and the first broadcast television network in the Philippines to formally launch in HD.The flagship television station of ABS-CBN was DWWX-TV (ABS-CBN TV-2 Manila). As such, the network was informally referred to as ""Channel 2"" or ""dos"" (Spanish for ""two"") even if the network was seen in other channel numbers elsewhere in the country. The network operated across the Philippine archipelago through the ABS-CBN Regional division which controlled 80 television stations. Its programs are also available outside the Philippines through the global subscription television channel The Filipino Channel (TFC) which is available in over three million paying households worldwide as well as terrestrially in Guam through KEQI-LD. From 2011 to 2020, the network had been on test broadcast for digital terrestrial television using the Japanese standard ISDB-T in select areas in the Philippines. It also partnered with KANTAR Media Inc. the ratings provider of ABS-CBN and other media entity. On October 3, 2015, ABS-CBN started to broadcast in high-definition through its affiliate direct-to-home cable and satellite television providers.ABS-CBN was issued a cease-and-desist order by the National Telecommunications Commission (NTC) and Solicitor General Jose Calida on May 5, 2020, after the NTC refused to renew the network's franchise license earlier in February 2020. The franchise license expired on May 4, 2020, and a day later, ABS-CBN signed off in the evening. Kapamilya Channel was then set up as a replacement for its main terrestrial channel which can only be viewed via cable, satellite and online. A web-based channel Kapamilya Online Live was also set up to exclusively livestream some of its contents to online video-sharing platforms Facebook and YouTube.
On October 10, 2020, A2Z Channel 11 was launched as the network's temporary terrestrial channel space through a blocktime agreement between ABS-CBN Corporation and ZOE Broadcasting Network, while some of the network's programs are being shown on TV5 since January 24, 2021.
While their internet presence was increased amid the shutdown of its main terrestrial network, the ABS-CBN Entertainment's social media accounts is mainly managed by the ABS-CBN Digital Media, with an estimated to less than 100 million followers and subscribers across Facebook, Twitter, Instagram, YouTube (though partnership on ABS-CBN Made for YOUtube and YouTube Super Stream Philippines), Kumu (through partnership on Pinoy Big Brother live streaming and other online shows), and TikTok. These includes social media accounts of its divisions (including ABS-CBN News, ABS-CBN Star Cinema, ABS-CBN Sports and ABS-CBN Star Music) and programs (including The Voice Philippines, I Can See Your Voice Philippines, Pilipinas Got Talent, Idol Philippines, Pinoy Big Brother, Your Face Sounds Familiar Philippines, Pinoy Boyband Superstar, Your Moment and World of Dance Philippines) with the main account of ABS-CBN across social media has more than 70 million followers whereas over 21 million likes and 31 million followers on Facebook, 1.6 million followers on Twitter, and with over 2.6 million followers on Instagram. As of June 30, 2021, the ABS-CBN Entertainment YouTube channel was the most-subscribed and most-viewed channel in Southeast Asia, with over 36.7 million subscribers and over 44.1 billion views on YouTube, surpassing Thailand's WorkpointTV.ABS-CBN Entertainment mainly focuses on being a content company, which includes producing television programs, films and other entertainment content and distributions. Since then, the company focuses on their own subsidiaries and divisions to produce and distribute shows and collaborating on partnerships with independent production companies and distributors to distribute their own contents.","[{'match': 'standard', 'norm': 'standard', 'case': 'lower', 'exact': True, 'start': 3198, 'end': 3206}]",True,policy,"{'policy': 0.9468873739242554, 'regulatory body': 0.9344603419303894, 'bank': 0.8981963396072388, 'guideline': 0.8588080406188965}"
74,74,EUR,"The EUR-pallet, also known as Euro-pallet or EPAL-pallet, is the standard European pallet as specified by the European Pallet Association (EPAL). Pallets conforming to the standardization are eligible for the European Pallet Pool (EPP), the system which allows for an exchange as ""pallet for pallet"".
The EUR/EPAL-pallet is 1,200 mm × 800 mm × 144 mm (47.2 in × 31.5 in × 5.7 in); it is a four-way pallet made of wood that is nailed with 78 special nails in a prescribed pattern. The weight of a EUR/EPAL-pallet (EPAL 1) is approx. 25 kg.  Around 450-500 million EUR-pallets are in circulation.The safe working load of a EUR/EPAL-pallet is 1,500 kg. The maximum additional load can be up to 4,000 kg when stacking.The EUR/EPAL-pallet may weigh up to 1,500 kg (3,300 lb). (1.5 metric tonnes) when equally loaded, otherwise the limit is 1,000 kg (2,200 lb).

","[{'match': 'standard', 'norm': 'standard', 'case': 'lower', 'exact': True, 'start': 65, 'end': 73}]",True,regulatory body,"{'regulatory body': 0.5958632230758667, 'bank': 0.4303627908229828, 'guideline': 0.3615370988845825, 'policy': 0.22380977869033813}"
79,79,CMA,"Certified Management Accountant (CMA) is a professional certification credential in the management accounting and financial management fields. The certification signifies that the person possesses knowledge in the areas of financial planning, analysis, control, decision support, and professional ethics. There are many professional bodies globally that have management accounting professional qualifications. The main bodies that offer the CMA certification are:

Institute of Management Accountants USA;
Institute of Certified Management Accountants (Australia); and
Certified Management Accountants of Canada.Since the Canadian body merged with the CPA Canada in September 2015, there are only 2 global bodies that offer the CMA certification, IMA (USA) and ICMA (Australia). However, the certification pathways for the two bodies – in terms of entry requirements, study syllabi and experience requirements are very different and will be explored next.
The U.S. based Institute of Management Accountants USA is one of the two global bodies that offers the CMA Certification. Only authorized partners of IMA can provide coaching to students for CMA USA. CMA (USA)-certified professionals work inside organizations of all sizes, industries, and types, including manufacturing and services, public and private enterprises, not-for-profit organizations, academic institutions, Government entities (USA), and multinational corporations worldwide. To date, there are more than 40,000 active CMAs with more than 80,000 candidates in the current pipeline. To obtain certification, candidates must pass a rigorous exam, meet an educational requirement, experience requirement, and demonstrate a commitment to continuous learning through continuing professional education (CPE).

","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 114, 'end': 123}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 223, 'end': 232}]",True,regulatory body,"{'regulatory body': 0.6715395450592041, 'guideline': 0.4411013722419739, 'bank': 0.2880224287509918, 'policy': 0.24315431714057922}"
80,80,UCITS,The Undertakings for Collective Investment in Transferable Securities Directive (UCITS) 2009/65/EC is a consolidated EU directive that allows collective investment schemes to operate freely throughout the EU on the basis of a single authorisation from one member state. EU member states are entitled to have additional regulatory requirements for the benefit of investors.,"[{'match': 'directive', 'norm': 'directive', 'case': 'lower', 'exact': True, 'start': 120, 'end': 129}]",True,Non-Financial Entity,"{'regulatory body': 0.6655693650245667, 'policy': 0.4233342707157135, 'finance': 0.2842111885547638, 'bank': 0.09422920644283295, 'guideline': 0.07083893567323685}"
81,81,USD,"The United States dollar (symbol: $; code: USD; also abbreviated US$ or U.S. Dollar, to distinguish it from other dollar-denominated currencies; referred to as the dollar, U.S. dollar, American dollar, or colloquially buck) is the official currency of the United States and several other countries. The Coinage Act of 1792 introduced the U.S. dollar at par with the Spanish silver dollar, divided it into 100 cents, and authorized the minting of coins denominated in dollars and cents. U.S. banknotes are issued in the form of Federal Reserve Notes, popularly called greenbacks due to their predominantly green color.
The monetary policy of the United States is conducted by the Federal Reserve System, which acts as the nation's central bank.
The U.S. dollar was originally defined under a bimetallic standard of 371.25 grains (24.057 g) (0.7735 troy ounces) fine silver or, from 1837, 23.22 grains (1.505 g) fine gold, or $20.67 per troy ounce. The Gold Standard Act of 1900 linked the dollar solely to gold. From 1934, its equivalence to gold was revised to $35 per troy ounce. Since 1971 all links to gold have been repealed.The U.S. dollar became an important international reserve currency after the First World War, and displaced the pound sterling as the world's primary reserve currency by the Bretton Woods Agreement towards the end of the Second World War. The dollar is the most widely used currency in international transactions, and a free-floating currency. It is also the official currency in several countries and the de facto currency in many others, with Federal Reserve Notes (and, in a few cases, U.S. coins) used in circulation.
As of February 10, 2021, currency in circulation amounted to US$2.10 trillion, $2.05 trillion of which is in Federal Reserve Notes (the remaining $50 billion is in the form of coins and older-style United States Notes).","[{'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 738, 'end': 742}, {'match': 'standard', 'norm': 'standard', 'case': 'lower', 'exact': True, 'start': 802, 'end': 810}]",True,regulatory body,"{'regulatory body': 0.8783127069473267, 'bank': 0.8400428295135498, 'policy': 0.8389561176300049, 'guideline': 0.32190224528312683}"
