,acronym,summary,tags
17,SFC,"The All-Ireland Senior Football Championship (SFC) (Irish: Craobh Shinsir Peile na hÉireann) is the premier competition in Gaelic football. An annual tournament organised by the Gaelic Athletic Association (GAA), it is contested by the county teams in All-Ireland.The first tournament was held in 1887; it has been held every year since 1889. Each tournament ends with a final, played by the 35th Sunday of the year at Croke Park in Dublin, with the winning team receiving the Sam Maguire Cup.

",[]
18,SFC,"System File Checker (SFC) is a utility in Microsoft Windows that allows users to scan for and restore corrupted Windows system files.

",[]
19,SFC,"Thrust-specific fuel consumption (TSFC) is the fuel efficiency of an engine design with respect to thrust output. 
TSFC may also be thought of as fuel consumption (grams/second) per unit of thrust (kilonewtons, or kN). It is thus thrust-specific, meaning that the fuel consumption is divided by the thrust.
TSFC or SFC for thrust engines (e.g. turbojets, turbofans, ramjets, rocket engines, etc.) is the mass of fuel needed to provide the net thrust for a given period e.g. lb/(h·lbf) (pounds of fuel per hour-pound of thrust) or g/(s·kN) (grams of fuel per second-kilonewton). Mass of fuel is used, rather than volume (gallons or litres) for the fuel measure, since it is independent of temperature.Specific fuel consumption of air-breathing jet engines at their maximum efficiency is more or less proportional to exhaust speed. The fuel consumption per mile or per kilometre is a more appropriate comparison for aircraft that travel at very different speeds. There also exists power-specific fuel consumption, which equals the thrust-specific fuel consumption divided by speed. It can have units of pounds per hour per horsepower.
This figure is inversely proportional to specific impulse.",[]
20,SFC,"Sergeant First Class (SFC) is a military rank in some militaries and other uniformed organizations around the world, typically that of a senior non-commissioned officer.",[]
21,SFC,"SFC Capital (formerly known as Startup Funding Club) is an investment fund manager and network of business angels founded in 2012 by Stephen Page, the CEO of the company. It manages the SFC Angel Fund which invests in small companies qualifying for the SEIS and EIS investment schemes in the UK.Since its inception in 2012, there have been 4 main SEIS/EIS funds. The company has also managed other funds including the Fintech Fund, the Odyssey Fund, and the Epicure SEIS Fund. To date, SFC Capital has invested over £30 million in over 225 companies by combining its funds and its angel network.

","[{'match': 'fund', 'norm': 'fund', 'case': 'lower', 'exact': True, 'start': 70, 'end': 74}]"
22,SFC,"The Mayo county football team represents Mayo in men's Gaelic football and is governed by Mayo GAA, the county board of the Gaelic Athletic Association. The team competes in the three major annual inter-county competitions; the All-Ireland Senior Football Championship, the Connacht Senior Football Championship and the National Football League.
Mayo's home ground is MacHale Park, Castlebar. The team's manager is (until recently) James Horan.
Mayo was the second Connacht county to win an All-Ireland Senior Football Championship (SFC), following Galway, but the first to appear in the final. The team last won the Connacht Senior Championship in 2020, the All-Ireland Senior Championship in 1951 and the National League in 2019.
Mayo has acquired a long-term record for reaching All-Ireland SFC finals only to fall at the ultimate hurdle. In 1989, the county reached a first All-Ireland SFC final since its last previous appearance in 1951 only to lose to Cork. In 1996, a freak point by Meath at the end of the final forced a replay, which saw Mayo concede another late score that would deny the county victory. Kerry bridged an 11-year title gap against Mayo in the 1997 final with a three-point win, before torturing them by eight points in the 2004 final and thirteen points in the 2006 final. In the 2012 final, Donegal bridged a 20-year gap between titles, helped in no small part by a nightmare opening quarter for Mayo as Michael Murphy launched a rocket of a shot into the goal after three minutes. Then, in the eleventh minute, Colm McFadden seized the ball from the grasp of Kevin Keane and slid it into the net for a second Donegal goal. Mayo managed thirteen points to Donegal's two goals and eleven, only got on the scoresheet after sixteen minutes when already two goals behind and never led during the match. Mayo qualified for the 2013 final, and once more came up short, this time being seen off by a Dublin team which won by a single point. The 2016 final likewise, a single point against Dublin, though this time after a replay; the drawn game featuring two own goals by Mayo players, a previously unknown occurrence in the sport, which left Mayo behind by five points at half-time despite holding Dublin scoreless for the first 30 minutes of the game. The 2017 final, and another one-point loss to Dublin. The 2020 final and Mayo conceded the fastest goal scored in the history of All-Ireland SFC finals on the way to another loss to Dublin, this one by five points. Another five-point loss followed in the 2021 final, with Ryan O'Donoghue hitting a penalty against the goalpost and numerous other goal chances being squandered. Since 1989, Mayo has played in 13 finals (including replays), losing 11 of them, with the others finishing level.","[{'match': 'board', 'norm': 'board', 'case': 'lower', 'exact': True, 'start': 111, 'end': 116}]"
23,SFC,"The Tyrone County Board (Irish: Cumann Lúthchleas Gael, Coiste Chontae Tír Eoghain), or Tyrone GAA, is one of the 32 county boards of the Gaelic Athletic Association (GAA) in Ireland, and is responsible for the administration of Gaelic games in County Tyrone, Northern Ireland.
The county board is responsible for preparing the Tyrone county teams in the various Gaelic sporting codes; football, hurling, camogie and handball.
The county football team was the sixth from the province of Ulster to win the Sam Maguire Cup, leaving only Antrim, Fermanagh and Monaghan to still win the trophy and become All-Ireland champions.","[{'match': 'board', 'norm': 'board', 'case': 'lower', 'exact': True, 'start': 289, 'end': 294}]"
24,FATF,"The Financial Action Task Force (on Money Laundering) (FATF), also known by its French name, Groupe d'action financière (GAFI), is an intergovernmental organisation founded in 1989 on the initiative of the G7 to develop policies to combat money laundering. In 2001, its mandate was expanded to include terrorism financing.
The objectives of FATF are to set standards and promote effective implementation of legal, regulatory and operational measures for combating money laundering, terrorist financing and other related threats to the integrity of the international financial system. FATF is a ""policy-making body"" that works to generate the necessary political will to bring about national legislative and regulatory reforms in these areas. FATF monitors progress in implementing its Recommendations through ""peer reviews"" (""mutual evaluations"") of member countries.
Since 2000, FATF has maintained the FATF blacklist (formally called the ""Call for action"") and the FATF greylist (formally called the ""Other monitored jurisdictions""). The blacklist has led financial institutions to shift resources and services away from the listed. This in turn has motivated domestic economic and political actors in the listed countries to pressure their governments to introduce regulations that are compliant with the FATF.","[{'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 239, 'end': 244}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 464, 'end': 469}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 566, 'end': 575}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 1058, 'end': 1067}]"
25,FATF,"The Financial Action Task Force blacklist (often abbreviated to FATF blacklist, and officially known as the ""Call for action""), is a blacklist maintained by the Financial Action Task Force.The blacklist has been issued by the FATF since 2000, and lists countries which FATF judges to be non-cooperative in the global fight against money laundering and terrorist financing, calling them ""Non-Cooperative Countries or Territories"" (NCCTs).Although non-appearance on the blacklist was perceived to be a mark of approbation for offshore financial centres (or ""tax havens"") who are sufficiently well regulated to meet all of the FATF's criteria, in practice, the list included countries that did not operate as offshore financial centres. The FATF updates the blacklist regularly, adding or deleting entries.The FATF describes ""High-risk jurisdictions subject to a Call for Action"" as having ""significant strategic deficiencies in their regimes to counter money laundering, terrorist financing, and financing of proliferation. For all countries identified as high-risk, the FATF calls on all members and urges all jurisdictions to apply enhanced due diligence, and in the most serious cases, countries are called upon to apply counter-measures to protect the international financial system from the ongoing money laundering, terrorist financing, and proliferation financing risks emanating from the country"". As of 21 February 2020, only two countries were on the FATF blacklist: North Korea and Iran
The FATF has been characterized as effective in shifting laws and regulations to combat illicit financial flows. FATF incentivizes stricter regulations through its public noncomplier list, which leads financial institutions to shift resources and services away from the countries on the blacklist. This in turn motivates domestic economic and political actors in the listed countries to pressure their governments to introduce regulations that are compliant with the FATF.

","[{'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 331, 'end': 336}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 533, 'end': 542}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 715, 'end': 724}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 951, 'end': 956}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 1268, 'end': 1277}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 1302, 'end': 1307}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 1592, 'end': 1601}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 1697, 'end': 1706}]"
26,FATF,"Money laundering is the process of concealing the origin of money, often obtained from illicit activities such as drug trafficking, corruption, embezzlement or gambling, by converting it into a legitimate source. It is a crime in many jurisdictions with varying definitions. It is usually a key operation of organized crime.
In US law, money laundering is the practice of engaging in financial transactions to conceal the identity, source, or destination of illegally gained money. In UK law the common law definition is wider. The act is defined as ""taking any action with property of any form which is either wholly or in part the proceeds of a crime that will disguise the fact that that property is the proceeds of a crime or obscure the beneficial ownership of said property"".
In the past, the term ""money laundering"" was applied only to financial transactions related to organized crime. Today its definition is often expanded by government and international regulators such as the US Office of the Comptroller of the Currency to mean ""any financial transaction which generates an asset or a value as the result of an illegal act"", which may involve actions such as tax evasion or false accounting. In the UK, it does not even need to involve money, but any economic good. Courts involve money laundering committed by private individuals, drug dealers, businesses, corrupt officials, members of criminal organizations such as the Mafia, and even states.
As financial crime has become more complex, and ""Financial Intelligence"" (FININT) has become more recognized in combating international crime and terrorism, money laundering has become more prominent in political, economic, and legal debate. Money laundering is ipso facto illegal; the acts generating the money almost always are themselves criminal in some way (for if not, the money would not need to be laundered).","[{'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 60, 'end': 65}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 336, 'end': 341}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 384, 'end': 393}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 475, 'end': 480}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 805, 'end': 810}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 843, 'end': 852}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 1046, 'end': 1055}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 1249, 'end': 1254}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 1294, 'end': 1299}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 1463, 'end': 1472}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 1617, 'end': 1622}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 1766, 'end': 1771}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 1839, 'end': 1844}]"
27,FATF,"The Fast and the Furious: Tokyo Drift  is a 2006 American action film directed by Justin Lin and written by Chris Morgan. It is the standalone sequel to The Fast and the Furious (2001) and 2 Fast 2 Furious (2003) and is the third installment in the Fast & Furious franchise. The film stars Lucas Black and Bow Wow  and follows high school car enthusiast Sean Boswell (Black) who is sent to live in Tokyo with his estranged father and finds solace exploring the city's drifting community.
A third Fast & Furious film was confirmed in June 2005, when Lin was selected as director. Morgan was hired after an open call soon after, thus marking the first film in the franchise's longtime association with Lin, Morgan, and composer Brian Tyler, who would all return for subsequent installments. Unable to secure the returns of any of the original cast, development instead increased focus on car culture and street racing. Principal photography began in August 2005 and lasted until that November, with filming locations including Los Angeles and Tokyo, making Tokyo Drift the first film in the franchise to feature an international filming location.
The Fast and the Furious: Tokyo Drift premiered at Universal Studios Hollywood on June 4, 2006 and was theatrically released in the United States on June 16. The film received mixed reviews from critics, with some praise for Lin's direction, but criticism for its screenplay, characterization, and acting performances (namely Black's). Tokyo Drift grossed $158.9 million worldwide, making it the lowest-grossing film in the franchise. Within the series‘ continuity, the film is set between Fast & Furious 6  and Furious 7.",[]
28,FATF,"The Wolfsberg Group is a non-governmental association of thirteen global banks. Its goal has been to develop financial industry standards for anti-money laundering (AML), know your customer (KYC) and counter terrorist financing (CTF) policies. Its work is similar to what the Financial Action Task Force on Money Laundering (FATF) does on a government level. In addition to its AML-activities, the Wolfsberg Group also serves as a collective action group in the field of anti-corruption. The Wolfsberg Group has criticized FATF's draft AML revision as ""too prescriptive and too narrowly conceived"". The group operates in relative obscurity without press coverage.","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 109, 'end': 118}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 147, 'end': 152}]"
29,FATF,"In financial regulation, a politically exposed person (PEP) is one who has been entrusted with a prominent public function. A PEP generally presents a higher risk for potential involvement in bribery and corruption by virtue of their position and the influence that they may hold. The terms ""politically exposed person"" and senior foreign political figure are often used interchangeably, particularly in international forums. Foreign official is a term for individuals deemed government persons under the Foreign Corrupt Practices Act, or FCPA, and although definitions are similar to PEP, there are quite a few differences, and they should not be used interchangeably.  The term ""PEP"" is typically used to refer to customers in the financial services industry, while ""foreign official"" refers to the risks of third-party relationships in all industries.

","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 3, 'end': 12}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 733, 'end': 742}]"
30,FATF,"Terrorism financing is the provision of funds or providing financial support to individual terrorists or non-state actors.Most countries have implemented measures to counter terrorism financing (CTF) often as part of their money laundering laws. Some countries and multinational organisations have created a list of organisations that they regard as terrorist organisations, though there is no consistency as to which organisations are designated as being terrorist by each country. The Financial Action Task Force on Money Laundering (FATF) has made recommendations to members relating to CTF. It has created a Blacklist and Greylist of countries that have not taken adequate CTF action. As of 24 October 2019, the FATF blacklist (Call for action nations) only listed two countries for terrorism financing: North Korea and Iran; while the FATF greylist (Other monitored jurisdictions)  had 12 countries: Pakistan (see Pakistan and state-sponsored terrorism), Bahamas, Botswana, Cambodia, Ghana, Iceland, Mongolia, Panama, Syria, Trinidad and Tobago, Yemen, and Zimbabwe. In general, the supply of funds to designated terrorist organisations is outlawed, though the enforcement varies.
Initially the focus of CTF efforts was on non-profit organizations, unregistered money services businesses (MSBs) (including so called underground banking or ‘Hawalas’) and the criminalisation of the act itself.

","[{'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 59, 'end': 68}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 223, 'end': 228}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 1267, 'end': 1272}]"
31,FATF,"A money services business (MSB) is a legal term used by financial regulators to describe businesses that transmit or convert money.  The definition was created to encompass more than just banks which normally provide these services to include non-bank financial institutions.
An MSB has specific meanings in different jurisdictions, but generally includes any business that transmits money or representatives of money, provides foreign currency exchange such as Bureaux de change, or cashes cheques or other money related instruments.  It is often used in the context of Anti Money Laundering (AML) legislation and rules. Money services businesses are governed by their local regulators and have to adhere with record-keeping requirements to conduct customer due diligence if customers request for an amount of foreign currency that exceeds a certain threshold set to detect money laundering.An MSB often provides an essential financial service to underdeveloped regions with limited or no banking services and may be a small organisation with outlets like grocery stores, drugstores, pharmacies or convenience stores. It may include regional networks of post offices, banks or agents.","[{'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 2, 'end': 7}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 56, 'end': 65}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 125, 'end': 130}, {'match': 'bank', 'norm': 'bank', 'case': 'lower', 'exact': True, 'start': 247, 'end': 251}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 252, 'end': 261}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 384, 'end': 389}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 412, 'end': 417}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 508, 'end': 513}, {'match': 'money', 'norm': 'money', 'case': 'lower', 'exact': True, 'start': 875, 'end': 880}, {'match': 'financial', 'norm': 'financial', 'case': 'lower', 'exact': True, 'start': 927, 'end': 936}]"
